smiles,LogS
COC1=CC=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=C1,-4.23
NC1=CC=C(C=C1)[S](=O)(=O)NC2=CC=C(C=C2)C#N,-3.6
CCC(=O)OC(CC1=CC=CC=C1)(C(C)CN(C)C)C2=CC=CC=C2,-2.61
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C2=NC=CC=C2)C(C)C,-1.7
OC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,-2.26
O=C1NC(=O)C(C(=O)N1)(C2=CC=CC=C2)C3=CC=CC=C3,-4.2
C1COC2=C(OCCOCCOC3=C(OCCO1)C=CC=C3)C=CC=C2,-4.69
N[S](=O)(=O)C1=CC2=C(S1)[S](=O)(=O)CCC2O,-1.36
CCCN(CCOC1=C(Cl)C=C(Cl)C=C1Cl)C(=O)[N]2C=CN=C2,-4.04
CCO[P](=S)(OCC)SCN1C(=O)OC2=C1C=CC(=C2)Cl,-5.08
ClC1=C(Cl)C(=CC(=C1)C2=CC(=C(Cl)C(=C2)Cl)Cl)Cl,-8.85
CC1=C(Cl)C=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=C1,-4.91
CC1=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=CC(=C1)Cl,-4.35
OC(C1=CC=C(Cl)C=C1)(C2=CC=C(Cl)C=C2)C(Cl)(Cl)Cl,-5.67
ClC1=CC=CC(=C1Cl)N[S](=O)(=O)C2=CC=CC=C2,-4.73
CC1=C(C=CC(=C1)N)[S](=O)(=O)NC2=CC=C(Cl)C=C2,-4.42
CC1=CC=CC=C1N2C(=NC3=C(C=CC=C3)C2=O)C,-2.92
ClC1=CC=C(C2=CC(=C(Cl)C(=C2)Cl)Cl)C(=C1Cl)Cl,-9.1
CC1=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=C(Cl)C=C1,-3.98
CC1=CC(=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=C1)Cl,-4.32
ClC1=CC=C(Cl)C(=C1Cl)C2=CC(=C(Cl)C(=C2)Cl)Cl,-8.27
ClC1=C(Cl)C=C(C=C1)C2=C(Cl)C(=CC(=C2Cl)Cl)Cl,-8.48
ClC1=CC(=C(C(=C1)Cl)C2=CC(=C(Cl)C=C2Cl)Cl)Cl,-8.12
CC1=C(C=CC(=C1)N)[S](=O)(=O)NC2=C(Cl)C=CC=C2,-5.05
ClC1=CC(=C(C(=C1)Cl)C2=CC=C(Cl)C(=C2Cl)Cl)Cl,-8.24
ClC1=CC(=CC(=C1)C2=C(Cl)C(=CC(=C2Cl)Cl)Cl)Cl,-8.27
ClC1=CC(=C(Cl)C=C1)C2=C(Cl)C=C(Cl)C(=C2Cl)Cl,-8.01
ClC1=CC=C(C(=C1Cl)Cl)C2=C(Cl)C(=CC=C2Cl)Cl,-7.65
ClC1=CC(=C(C(=C1)Cl)C2=C(Cl)C=C(Cl)C=C2Cl)Cl,-8.71
CCCC(=O)OCN1C=NC2=C(C=N[N]2COC(=O)CCC)C1=O,-3.83
ClC1=CC=CC(=C1Cl)C2=C(Cl)C=C(Cl)C(=C2Cl)Cl,-8.48
ClC1=C(Cl)C(=C(Cl)C(=C1)C2=C(Cl)C=CC=C2Cl)Cl,-8.13
ClC1=CC(=C(Cl)C(=C1)C2=C(Cl)C(=CC=C2Cl)Cl)Cl,-7.82
CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC23C,-5.12
ClC1=CC=CC(=C1Cl)C2=C(Cl)C(=CC(=C2Cl)Cl)Cl,-8.6
CCN1C=CC(=NC1=O)N[S](=O)(=O)C2=CC=C(N)C=C2,-2.23
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC3C(O)CC(OC3C)OC4CCC5(C)C(CCC6C5CCC7(C)C(CCC67O)C8=CC(=O)OC8)C4,-5.29
ClC1=C(Cl)C2=C(OC3=C(O2)C=CC=C3)C(=C1)Cl,-7.53
NC1=CC=C(C(=C1)Cl)[S](=O)(=O)NC2=CC=C(Cl)C=C2,-4.59
NC1=CC=C(C=C1)[S](=O)(=O)NC2=CC(=CC=C2Cl)Cl,-4.4
NC1=CC=C(C=C1)[S](=O)(=O)NC2=CC=CC(=C2Cl)Cl,-4.73
CCN1C=C(C(O)=O)C(=O)C2=C1C=C(N3CCN(C)CC3)C(=C2)F,-1.47
CC1=C(N=C2C=C(O)C(=O)C3=C2C=CC=C3)C(=NO1)C,-3.89
N[S](=O)(=O)C1=CC2=C(S1)C(O)CC[S]2=O,-1.57
NC1=CC(=C(C=C1)[S](=O)(=O)NC2=CC=CC=C2Cl)Cl,-5.11
COC(=O)C(C)N(C(=O)CC1=CC=CC=C1)C2=C(C)C=CC=C2C,-3.94
COC1=C(N[S](=O)(=O)C2=CC=C(N)C=C2)C=CC=C1Cl,-4.15
CN1CCN(CC1)C2=NC3=C(OC4=C2C=C(Cl)C=C4)C=CC=C3,-4.42
CC1(C)C(C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C1(C)C,-6.03
CC(=O)OCN1C(=O)NC(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3,-4.47
CN1C(=O)CCC(N2C(=O)C3=C(C=CC=C3)C2=O)C1=O,-2.99
NC1=CC=C(C=C1)[S](=O)(=O)NC2=CC=C(I)C=C2,-4.52
ClC1=CC(=CC(=C1Cl)Cl)C2=C(Cl)C(=C(Cl)C(=C2)Cl)Cl,-8.72
CO[P](=S)(OC)SCN1N=NC2=CC=CC=C2C1=O,-4.04
COC(=O)NC1=NC2=CC(=CC=C2[NH]1)C(=O)C3=CC=CC=C3,-3.88
CC1N(CN2C(=O)C3=C(C=CC=C3)N=C12)CC4=CC=CC=C4,-4.0
CCC1=C(N=C2C=C(O)C(=O)C3=C2C=CC=C3)C(=NO1)C,-2.72
ClC1=CC=C(CCC(C[N]2C=NC=N2)(C#N)C3=CC=CC=C3)C=C1,-6.23
CC(C)=C1OC(=O)N(C1=O)C2=C(F)C=C(Cl)C(=C2)OC3CCCC3,-6.21
CCC(=O)OCN1C(=O)NC(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3,-4.91
ClC1=C(Cl)C2=C(C(=C1Cl)Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-9.7
FC1=C(C(=CC=C1)F)C2=NN=C(N=N2)C3=C(Cl)C=CC=C3,-6.12
C1CN(CCN1C\C=C\C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,-4.2
CCCC1=C(N=C2C=C(O)C(=O)C3=C2C=CC=C3)C(=NO1)C,-3.7
CCCC(=O)OCN1C(=O)NC(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3,-5.07
NC1=CC=C(C=C1)[S](=O)(=O)NC2=C(Cl)C=C(Cl)C(=C2)Cl,-4.83
BrC1=CC=C(N[S](=O)(=O)C2=CC=CC=C2)C(=C1)Br,-5.01
OC1=C(CC2=C(O)C(=CC(=C2Cl)Cl)Cl)C(=C(Cl)C=C1Cl)Cl,-3.46
OC(C1=CC=C(F)C=C1)(C2=CN=CN=C2)C3=C(Cl)C=CC=C3,-4.08
N[S](=O)(=O)C1=CC2=C(CC(O)C[S]2(=O)=O)S1,-1.59
CCCCC(=O)OCN1C(=O)NC(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3,-4.68
N[S](=O)(=O)C1=CC2=C(S1)[S](=O)(=O)CC(O)C2,-1.54
N[S](=O)(=O)C1=CC2=C(S1)C(=O)CC[S]2(=O)=O,-3.67
N[S](=O)(=O)C1=CC2=C(S1)C(O)CC[S]2(=O)=O,-1.28
CCCN1C(=O)CCC(N2C(=O)C3=C(C=CC=C3)C2=O)C1=O,-3.72
N[S](=O)(=O)C1=CC2=C(S1)[S](=O)(=O)CCC2=O,-3.02
CC1(O)CC(C2=CC=CC=C2)C3=C(O1)C4=C(OC3=O)C=CC=C4,-4.74
CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CC3=CC=CS3)C2=O)C(O)=O,-2.94
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,-1.27
N[S](=O)(=O)C1=CC(=CC=C1Cl)C2(O)NC(=O)C3=C2C=CC=C3,-3.45
CCCCCC1=C(N=C2C=C(O)C(=O)C3=C2C=CC=C3)C(=NO1)C,-3.18
CCO/N=C(OC(=O)C1=CC=CC=C1)/C2=C(OC)C(=CC=C2OC)Cl,-4.08
COC1=CC2=C(C=C1OC)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N,-1.8
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)C(C)(CC(C)C(=O)C(C)C(O)C1(C)O)OC,-2.2
CCCCCN1C(=O)CCC(N2C(=O)C3=C(C=CC=C3)C2=O)C1=O,-4.7
ClC1=CC2=C(OC3=C(O2)C(=C(Cl)C(=C3Cl)Cl)Cl)C=C1,-9.48
COC1=CC=C2C(=CC1=O)C(CCC3=C2C(=C(OC)C(=C3)OC)OC)NC(C)=O,-0.94
CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1,-5.6
CC1=NN=C2CN=C(C3=CC=CC=C3)C4=C(C=CC(=C4)Cl)[N]12,-3.6
COC1=CC2=C(N)N=C(N=C2C(=C1OC)OC)N3CCN(CC3)C(=O)OCC(C)(C)O,-3.64
COC1=C2C(=O)C3=C(C=CC=C3)N(C)C2=C4C=CC(C)(C)OC4=C1,-5.21
OC(=O)CC1=C(N=C(S1)C2=CC=CC=C2)C3=CC=C(Cl)C=C3,-4.96
CCOC(=O)C1=C[N]2N=C(O[P](=S)(OCC)OCC)C=C2N=C1C,-4.95
ClC1=CC(=C(C(=C1Cl)Cl)C2=C(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl)Cl,-10.1
ClC1=CC2=C(OC3=C(O2)C(=C(Cl)C(=C3Cl)Cl)Cl)C=C1Cl,-10.95
CSC1=CC2=C(SC3=C(C=CC=C3)N2CCC4CCCCN4C)C=C1,-5.82
ClC1=CC=C(CSC(C[N]2C=NC=N2)=NC3=C(Cl)C=C(Cl)C=C3)C=C1,-5.38
CC(C)(C)C1=CC=C(C=C1)C(O)CCCN2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4,-6.69
ClC1=CC2=C(OC3=C2C(=C(Cl)C(=C3Cl)Cl)Cl)C(=C1Cl)Cl,-11.48
CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(S2)C=C(Cl)C=C3)C=C1,-5.67
CC1(C)CNC(NC1)=N\N=C(/C=C/C2=CC=C(C=C2)C(F)(F)F)\C=C\C3=CC=C(C=C3)C(F)(F)F,-7.92
CN1C(CCl)NC2=C(C=C(C(=C2)Cl)[S](N)(=O)=O)[S]1(=O)=O,-3.78
CC(OC1=CC=C(OC2=NC3=C(C=C(Cl)C=C3)N=C2)C=C1)C(=O)OC4CCCO4,-5.02
CC(=O)NCC1=C(I)C(=C(I)C(=C1I)NC(C)=O)C(O)=O,-2.32
COC(=O)C1=C(C[S](=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC)C=CC=C1,-3.53
CCOC(=O)C1=CC=CC=C1[S](=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)Cl,-4.58
CC1=CC=C(C=C1)C2=CC(=N[N]2C3=CC=C(C=C3)[S](N)(=O)=O)C(F)(F)F,-4.74
ClC1=C(Cl)C2=C(C(=C1Cl)Cl)C3=C(O2)C(=C(Cl)C(=C3Cl)Cl)Cl,-11.58
OC1=C(CC2=C(O)C3=CC=CC=C3OC2=O)C(=O)OC4=C1C=CC=C4,-4.27
CC(OC1=CC=C(OC2=NC3=CC=C(Cl)C=C3N=C2)C=C1)C(=O)OCCON=C(C)C,-5.85
C[N]1N=C(C)C(=C1OCC(=O)C2=CC=C(C)C=C2)C(=O)C3=CC=C(Cl)C(=C3Cl)C,-6.52
CN1C(=C(O)C2=CC=CC=C2[S]1(=O)=O)C(=O)NC3=NC=C(C)S3,-1.92
CN(C)C(CS[S](=O)(=O)C1=CC=CC=C1)CS[S](=O)(=O)C2=CC=CC=C2,-5.76
CC(C)(C)C1=CC(=CC(=C1SC(C)(C)SC2=C(C=C(O)C=C2C(C)(C)C)C(C)(C)C)C(C)(C)C)O,-8.17
CCOC(=O)NC1=CC2=C(SC3=C(C=CC=C3)N2C(=O)CCN4CCOCC4)C=C1,-3.9
FC1=C(NC(=O)NC(=O)C2=C(F)C=CC=C2F)C=CC(=C1)OC3=CC=C(C=C3Cl)C(F)(F)F,-8.09
COC(=O)C1=CC=C(N=C1[S](=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC)C(F)(F)F,-3.89
CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O,-4.0
C[N]1N=C(C)C(=C1O[S](=O)(=O)C2=CC=C(C)C=C2)C(=O)C3=C(Cl)C=C(Cl)C=C3,-6.9
C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC7=C6C3=C(C=C2)C=C7,-8.83
COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(OC4OC5COC(C)OC5C(O)C4O)C6=C2C=C7OCOC7=C6,-3.47
BrC1=C(Br)C(=C(OC2=C(Br)C(=C(Br)C(=C2Br)Br)Br)C(=C1Br)Br)Br,-9.98
CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,-4.64
N#CCC#N,0.25
CC(C)N(N=O)C(C)C,-1.0
CC(C)(C)C(O)=O,-0.67
N#CCCC#N,0.2
CNCC(O)=O,0.53
CC(C)(O)C(Cl)(Cl)Cl,-1.35
C[S](C)(=O)=O,0.2
OC(=O)CCCCCC(O)=O,-0.51
NC1=NC=CC=C1,0.98
N#CC1=CC=NC=C1,-0.42
N#CC1=CC=CN=C1,0.11
OC1=CC=C(F)C=C1,-0.21
CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,-3.81
CO[P](N)(=O)SC,0.85
CC1=C(C)C=C(N)C=C1,-1.5
COC1=CC=C(N)C=C1,-0.77
CCC(CC)(C(=O)NC(N)=O)C(=O)OC,-1.96
CCOC(=O)C(CC)(CC)C(=O)NC(N)=O,-2.08
OC(=O)C1=CC=NC=C1,-1.37
OC(=O)C1=CC=CC=N1,0.89
CCOC1=CC=C(O)C=C1,-1.29
CCC(CC)(C(=O)NC(N)=O)C(=O)OC(C)C,-2.77
CCC(CC)(C(=O)NC(N)=O)C(=O)OCOC,-2.17
NC(=S)C1=CC=CC=C1,-1.92
NC1=NC(=NC(=N1)N)N,-1.59
ClCCN(N=O)C(=O)NC1CCCCC1,-3.37
O=C1CC(=O)NC(=O)N1,-1.29
COC(=O)C(CC=C)(CC=C)C(=O)NC(N)=O,-2.17
CC(=O)C1=CC=C(O)C=C1,-1.13
OCNC(=O)C1=CC=CC=C1,-0.52
CCC1=CC=C(C=C1)C(O)=O,-2.52
COC1=CC=C(C=C1)C(N)=O,-1.72
COC1=CC=CC(=C1)C(N)=O,-1.72
[NH]1N=CC2=C1C=CC=C2,-2.16
[NH]1C=NC2=C1C=CC=C2,-1.77
CC(C)(C)C(=O)OCN1C=C(F)C(=O)N(COC(=O)C(C)(C)C)C1=O,-3.9
CN(C)CNC(=O)C1=CC=CC=C1,0.42
[NH]1C=NC2=C1C=NC=N2,0.62
CCCCC1=CC=C(C=C1)C(O)=O,-3.08
CC(=O)OCN1C=C(F)C(=O)N(COC(C)=O)C1=O,-1.81
CCOC(=O)C(C)(C(=O)NC(=O)NC)C1=CCCCC1,-3.0
CNC(=O)OC1=CC(=C(C)C=C1)C,-2.49
CNC(=O)OC1=CC(=CC(=C1)C)C,-2.58
CN(C)C(=O)SCCCCOC1=CC=CC=C1,-3.93
S1C=CC2=C1C=CC=C2,-3.01
NC(=O)COC(=O)C1=CC=CC=C1,-1.64
O=C1CCC2=CC=CC3=C2N1CC3,-1.64
CC1=CC2=C(C=CC=C2)C=N1,-2.19
CNC(=O)COC(=O)C1=CC=CC=C1,-1.72
CNC(=O)\C=C(C)\O[P](=O)(OC)OC,0.65
CCC(C)C1=C(OC(=O)NC)C=CC=C1,-2.53
CCC(CC)(C(=O)NC(N)=O)C(=O)OCC(=O)OC,-2.01
OC(=O)CONC(=O)C1=CC=CC=C1,-0.95
COC1=C(O)C=CC(=C1)\C=C\C(O)=O,-3.05
S=C1NC=NC2=C1N=C[NH]2,-2.95
CCNC(=O)COC(=O)C1=CC=CC=C1,-2.24
CNC(=O)N1C=C(F)C(=O)NC1=O,-2.28
CCC(=O)N1C(=O)NC=C(F)C1=O,-0.7
CNC(=O)CS[P](=S)(OC)OC,-0.96
CN(C)C(=O)COC(=O)C1=CC=CC=C1,-1.37
COC(=O)N1C=C(F)C(=O)NC1=O,-0.91
CC(=O)OCN1C=C(F)C(=O)NC1=O,-0.67
COC(=O)C1=CC=CC=C1OC(C)=O,-1.84
O=C1NC(=O)C2=C([NH]C=N2)N1,-3.87
CC(=O)OCN1C(=O)NC=C(F)C1=O,-1.2
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C,-4.43
CCCNC(=O)COC(=O)C1=CC=CC=C1,-2.54
CCNC1=NC(=NC(=N1)NCC)SC,-2.73
CCC(C)([S](=O)(=O)CC)[S](=O)(=O)CC,-1.91
CC(C)NC(=O)COC(=O)C1=CC=CC=C1,-2.73
CCNC(=O)N1C=C(F)C(=O)NC1=O,-2.13
NCCC1=C[NH]C2=C1C=C(O)C=C2,-0.95
CCOC(=O)OCN1C(=O)NC=C(F)C1=O,-1.46
CCCC(C)C(=O)NC1=CC(=C(C)C=C1)Cl,-4.45
CC(C)NCC(O)COC1=C(OCC=C)C=CC=C1,-0.32
OC1=CC2=C(C=CC=C2)C=C1O,-2.74
COC1=NC(=NC(=N1)NC(C)C)NC(C)C,-2.56
CCOC(=O)N1C=C(F)C(=O)NC1=O,-1.47
OC1=CC2=C(C=CC=C2)C(=C1)O,-1.95
CN(C)C(=O)N1C=C(F)C(=O)NC1=O,-1.53
CCNC1=NC(=NC(=N1)OC)NC(C)(C)C,-3.24
O=C(COC(=O)C1=CC=CC=C1)N2CCC2,-1.61
CCC(=O)OCN1C=C(F)C(=O)NC1=O,-0.81
CCOC(=O)N1C(=O)NC=C(F)C1=O,-0.45
CCCCNC(=O)COC(=O)C1=CC=CC=C1,-2.76
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,-5.48
CC(C)(C)C(=O)OCN1C=C(F)C(=O)NC1=O,-2.03
CC(C)(C)NC(=O)COC(=O)C1=CC=CC=C1,-2.87
CCN(CC)C(=O)COC(=O)C1=CC=CC=C1,-2.07
CCCC(=O)OCN1C=C(F)C(=O)NC1=O,-1.31
O=C(COC(=O)C1=CC=CC=C1)N2CCCC2,-1.57
CC(C)(C)NCC(O)COC1=C(C=CC=C1)C2CCCC2,-1.84
CNC(=O)OC1=CC(=C(SC)C(=C1)C)C,-3.92
CN(C)C(=O)COC(=O)C1=C(O)C=CC=C1,-1.71
CCCCNC(=O)N1C=C(F)C(=O)NC1=O,-2.45
CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,-5.42
CCCCOC(=O)N1C=C(F)C(=O)NC1=O,-1.59
COCCN(C(=O)CCl)C1=C(C)C=CC=C1C,-2.09
CC(C)COC(=O)N1C=C(F)C(=O)NC1=O,-1.89
CCN(CCO)C(=O)COC(=O)C1=CC=CC=C1,-1.37
FC1=CN(C(=O)NC1=O)C(=O)OCCCl,-1.91
CON(C)C(=O)NC1=CC=C(Br)C=C1,-2.9
O=C(COC(=O)C1=CC=CC=C1)N2CCOCC2,-1.77
N#CC(=N\OCC1OCCO1)/C2=CC=CC=C2,-4.07
CN1CCC23CCCCC2C1CC4=C3C=C(O)C=C4,-2.72
CO[P](=S)(OC)SCC(=O)N(C)C=O,-2.0
COC(=O)NC1=NC2=CC=CC=C2[NH]1,-4.52
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,-3.35
NC(=O)CNC(=O)COC(=O)C1=CC=CC=C1,-1.5
CCSC1=NC(=NC(=N1)NC(C)C)NC(C)C,-4.2
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,-3.4
C=CCN(CC=C)C(=O)COC(=O)C1=CC=CC=C1,-2.56
CC(C)N(C(C)C)C(=O)COC(=O)C1=CC=CC=C1,-3.34
OCCN(CCO)C(=O)COC(=O)C1=CC=CC=C1,0.43
OC1CCN(CC1)C(=O)COC(=O)C2=CC=CC=C2,-1.35
NC1=NC2=C(C=N1)N=C[N]2COCCO,-1.08
CCCCCCOC(=O)N1C=C(F)C(=O)NC1=O,-2.24
CCN(CC)C(=O)COC(=O)C1=C(O)C=CC=C1,-2.56
COCCCNC1=NC(=NC(=N1)NC(C)C)SC,-2.93
COC1=CC2=C(CC3C4CCCCC24CCN3C)C=C1,-3.48
CNC1=CC=C(C=C1)[S](=O)(=O)N(C)C,-3.08
ClC1=C(OC2=CC=CC=C2)C=CC=C1,-4.78
OCC(CO)(CO)NC(=O)COC(=O)C1=CC=CC=C1,-1.27
CN(CC(N)=O)C(=O)COC(=O)C1=CC=CC=C1,-0.92
CCCCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,-4.18
CC1CCCC(C)N1C(=O)COC(=O)C2=CC=CC=C2,-3.26
CC(NC(=O)COC(=O)C1=CC=CC=C1)C(N)=O,-2.72
COCCN(CCOC)C(=O)COC(=O)C1=CC=CC=C1,-1.57
CC(=O)OC1=CC=CC=C1C(=O)OCC(N)=O,-1.79
CON(C1CCCCC1)C(=O)C2=C(C)OC(=C2)C,-2.92
CON(C)C(=O)NC1=CC=C(Br)C(=C1)Cl,-3.92
OC(=O)C1=C(C=CC=C1)C2=CC=CC=C2,-2.73
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2,-3.05
CCOC(=O)CN(C)C(=O)COC(=O)C1=CC=CC=C1,-1.67
CC(=O)OC[N]1N=CC2=C1N=CNC2=O,-2.56
CC(C)(C)N1N=CC(=C(Cl)C1=O)SCC2=CC=C(C=C2)C(C)(C)C,-7.48
OC(=O)C1CCN1C(=O)COC(=O)C2=CC=CC=C2,-2.14
CC1=NN=C(C2=CC=CC=C2)C(=O)N1N,-2.05
FC(F)(F)C1=CC=CC(=C1)N2CC(CCl)C(Cl)C2=O,-4.05
CN1C=CSC1=NC2=C(C)C=C(C)C=C2,-3.16
CCNC(=O)COC(=O)C1=CC=CC=C1OC(C)=O,-1.68
CCOC(=O)COC(=O)C1=CC=CC=C1OC(C)=O,-2.58
CN(C)C(=O)COC(=O)C1=CC=CC=C1OC(C)=O,-1.55
CN(C)[S](=O)(=O)C1=CC=C(C=C1)N(C)C=O,-2.37
ClCCN(CCCl)[P]1(=O)NCCCO1,-0.82
CC(=O)OCCOC[N]1C=NC2=C1N=C(N)N=C2,-0.97
CC(=O)OC1=CC=CC=C1C(=O)OC[S](C)=O,-1.78
NC(=O)C1CCCN1C(=O)COC(=O)C2=CC=CC=C2,-2.27
OC(=O)C1CCCN1C(=O)COC(=O)C2=CC=CC=C2,-1.59
CCCC(=O)OC[N]1C=C2C(=O)NC=NC2=N1,-2.2
CNC(=O)N(C)C1=NC2=C(S1)C=CC=C2,-3.57
CCCC(=O)OC[N]1N=CC2=C1N=CNC2=O,-2.83
ClC1=NC=CC(=C1)NC(=O)NC2=CC=CC=C2,-3.8
CC(O)C[N]1C=NC2=C1C(=O)N(C)C(=O)N2C,0.62
CC(=O)NC1=NC2=C(C=N1)N=C[N]2COCCO,-0.86
CC1=C(N(C2CCOC2=O)C(=O)CCl)C(=CC=C1)C,-3.29
CN(C)[S](=O)(=O)C1=CC=C(C=C1)N(C)C(C)=O,-2.3
ClC1=CC=CC(=C1Cl)C2=CC=CC=C2Cl,-5.94
CCN(CC)C(=O)COC(=O)C1=CC=CC=C1OC(C)=O,-2.11
CC(C)(C)C(=O)OC[N]1C=C2C(=O)NC=NC2=N1,-2.17
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC2=C(F)C(=CC(=C2F)F)F,-6.81
CC(C)(C)C(=O)OC[N]1N=CC2=C1N=CNC2=O,-2.68
ClC1=CC(=C(C=C1)C(C[N]2C=CN=C2)OCC=C)Cl,-3.22
O=C(OC1CCCCC1)C2=CC=CC=C2C(=O)OC3CCCCC3,-4.92
ClC1=C(Cl)C(=CC(=C1)OC2=CC=CC=C2)Cl,-6.77
CC(=O)OCCOC[N]1C=NC2=C1N=C(N)NC2=O,-2.7
CN(C(=O)NC(C)(C)C1=CC=CC=C1)C2=CC=CC=C2,-3.35
CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)C[N]2C=NC=N2,-3.93
CCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C,-2.48
ClC1=CC(=C(OC2=CC=CC=C2)C=C1Cl)Cl,-6.58
CCOC(=O)C(C)C1=CC2=CC=C(OC)C=C2C=C1,-5.33
CC(=O)OC1=CC=CC=C1C(=O)OCC(=O)N2CCOCC2,-1.8
CC(=O)OC1=CC=CC=C1C(=O)OC[S](C)(=O)=O,-3.39
NC1=C(C=CC2=C1C=CC=C2)[S](O)(=O)=O,-2.96
CCCCCCC(C)OC(=O)COC1=NC(=C(Cl)C(=C1Cl)N)F,-6.43
FC1=CC=C(C=C1)N2C(=O)C(=C(Cl)C2=O)Cl,-4.64
FC1=CNC(=O)N(C1=O)C(=O)C2=CC=CC=C2,-2.26
CCCN(CCC)C(=O)COC(=O)C1=CC=CC=C1OC(C)=O,-2.65
CC1=CC(=NC(=N1)NN=C(C)C2=CC=CC=C2C)C,-3.2
CC(=O)OC1=CC=CC=C1C(=O)OCC(=O)NCC(N)=O,-2.52
CCCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C,-2.16
CCN(CC)CCCC(C)NC1=CC=NC2=C1C=CC(=C2)Cl,-2.83
CCN(CC)C(=O)C(C)OC(=O)C1=CC=CC=C1OC(C)=O,-1.6
CC(C)N(C(C)C)C(=O)COC(=O)C1=CC=CC=C1OC(C)=O,-3.25
CC(=O)NC1=NC2=C(N=C[N]2COCCO)C(=O)N1,-1.92
CC1=C(NC2=CC=CC=C2C(O)=O)C=CC=C1Cl,-5.06
CCN1C=C(C(=O)OC)C(=O)C2=C1N=C(C)C=C2,-2.7
ClC1=CC=C(C=C1)C2=C(Cl)C(=C(Cl)C=C2)Cl,-6.88
FC1=CN(C(=O)NC1=O)C(=O)OCC2=CC=CC=C2,-2.82
CC1C(SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(Cl)C=C3,-5.85
FC1=CN(C(=O)NC1=O)C(=O)OC2=CC=CC=C2,-2.44
CCCCC(=O)N(C)C1=CC=C(C=C1)[S](=O)(=O)N(C)C,-2.85
CCN(CC)CC(=O)OC[N]1N=CC2=C1N=CNC2=O,-1.79
FC1=CNC(=O)N(C(=O)OC2=CC=CC=C2)C1=O,-3.22
CCCCC(O)(C[N]1C=NC=N1)C2=C(Cl)C=C(Cl)C=C2,-4.27
