,Unnamed: 0,C_ID,Name,InChIKey,SMILES,CAS,LogS,smiles_canon
320,322.0,A-323,,JUHORIMYRDESRB-UHFFFAOYSA-N,N(CCNCc1ccccc1)Cc1ccccc1,,-1.206,c1ccc(CNCCNCc2ccccc2)cc1
322,324.0,A-325,,JVPGYYNQTPWXGE-UHFFFAOYSA-N,Cc1ccc(c2sc3c(n2)cccc3)cc1,,-4.353,Cc1ccc(-c2nc3ccccc3s2)cc1
323,325.0,A-326,,JVSWJIKNEAIKJW-UHFFFAOYSA-N,C(CCCCC)(C)C,,-5.08,CCCCCC(C)C
327,329.0,A-330,,JWZZKOKVBUJMES-UHFFFAOYSA-N,OC(CNC(C)C)c1cc(O)c(O)cc1,,0.14,CC(C)NCC(O)c1ccc(O)c(O)c1
328,330.0,A-331,,JXCGFZXSOMJFOA-UHFFFAOYSA-N,Clc1c(C)ccc(NC(=O)N(C)C)c1,,-3.46,Cc1ccc(NC(=O)N(C)C)cc1Cl
331,333.0,A-334,,JYFHYPJRHGVZDY-UHFFFAOYSA-N,P(=O)(OCCCC)(OCCCC)O,,-1.087,CCCCOP(=O)(O)OCCCC
334,336.0,A-337,,JZQKKSLKJUAGIC-UHFFFAOYSA-N,O(CC(O)CNC(C)C)c1c2c([nH]cc2)ccc1,,-3.85453,CC(C)NCC(O)COc1cccc2[nH]ccc12
337,339.0,A-340,,KAATUXNTWXVJKI-UHFFFAOYSA-N,ClC(=CC1C(C)(C)C1C(=O)OC(C#N)c1cc(Oc2ccccc2)ccc1)Cl,,-8.019997,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
338,340.0,A-341,,KAESVJOAVNADME-UHFFFAOYSA-N,[nH]1cccc1,,-0.17,c1cc[nH]c1
339,341.0,A-342,,KANLOADZXMMCQA-UHFFFAOYSA-N,Cc1cc2c(c3c(cc2)cccc3)cc1,,-5.84,Cc1ccc2c(ccc3ccccc32)c1
340,342.0,A-343,,KDDQDUIBYASSFC-UHFFFAOYSA-N,FC(F)(F)c1c2[nH]c(=O)c3c(n(CC)c2nc(C)c1)nccc3,,-4.21,CCN1c2ncccc2C(=O)Nc2c(C(F)(F)F)cc(C)nc21
343,345.0,A-346,,KFIRODWJCYBBHY-UHFFFAOYSA-N,O=[N+]([O-])c1c(C(=O)O)c(C(=O)O)ccc1,,-1.00776,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O
345,347.0,A-348,,KFZMGEQAYNKOFK-UHFFFAOYSA-N,OC(C)C,,0.43,CC(C)O
349,351.0,A-352,,KIEDNEWSYUYDSN-UHFFFAOYSA-N,Clc1c(CN2C(=O)C(C)(C)CO2)cccc1,,-2.34,CC1(C)CON(Cc2ccccc2Cl)C1=O
350,352.0,A-353,,KIGQVWWOESIMBG-UHFFFAOYSA-N,O=C(O)CN(CCC#N)CCC#N,,0.46,N#CCCN(CCC#N)CC(=O)O
354,356.0,A-357,,KJVQYDYPDFFJMP-UHFFFAOYSA-N,S(=O)(=O)(Nc1scc(C)n1)c1ccc(N)cc1,,-2.909,Cc1csc(NS(=O)(=O)c2ccc(N)cc2)n1
355,357.0,A-358,,KMAQZIILEGKYQZ-UHFFFAOYSA-N,Clc1cc([N+](=O)[O-])ccc1,,-2.77,O=[N+]([O-])c1cccc(Cl)c1
358,360.0,A-361,,KOCYTWBTXZOUFS-UHFFFAOYSA-N,Cc1nc2ncncc2nc1,,0.06,Cc1cnc2cncnc2n1
359,361.0,A-362,,KPQZUUQMTUIKBP-UHFFFAOYSA-N,O=[N+]([O-])c1n(CC(O)C)c(C)nc1,,-0.737,Cc1ncc([N+](=O)[O-])n1CC(C)O
363,365.0,A-366,,KRTSDMXIXPKRQR-UHFFFAOYSA-N,P(=O)(OC(=CC(=O)NC)C)(OC)OC,,0.65,CNC(=O)C=C(C)OP(=O)(OC)OC
365,367.0,A-368,,KSFDHSSNYJNHAN-UHFFFAOYSA-N,CC1=Nc2c(N=C(C)C1)cccc2,,-1.367,CC1=Nc2ccccc2N=C(C)C1
366,368.0,A-369,,KSMVNVHUTQZITP-UHFFFAOYSA-N,Clc1c(Cl)cc2c(oc3c2cc(Cl)c(Cl)c3)c1,,-8.860121,Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl
367,369.0,A-370,,KSUUMAWCGDNLFK-UHFFFAOYSA-N,O=C(NC(=O)C(C(C)C)CC=C)N,,-2.747,C=CCC(C(=O)NC(N)=O)C(C)C
370,372.0,A-373,,KUCQYCKVKVOKAY-UHFFFAOYSA-N,Clc1ccc(C2CCC(C3=C(O)C(=O)c4c(C3=O)cccc4)CC2)cc1,,-5.93,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
371,373.0,A-374,,KVBGVZZKJNLNJU-UHFFFAOYSA-N,S(=O)(=O)(O)c1cc2c(cc1)cccc2,,-1.265,O=S(=O)(O)c1ccc2ccccc2c1
372,374.0,A-375,,KVFJBIQWENJTDM-UHFFFAOYSA-N,c12c3cc4c5c(ccc4c1CCc2ccc3)cccc5,,-7.850011,c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2
375,377.0,A-378,,KXYFWLVSYHRZJL-UHFFFAOYSA-N,O=C(N(CC(C)C)CC(C)C)COC(=O)c1ccccc1,,-3.561,CC(C)CN(CC(C)C)C(=O)COC(=O)c1ccccc1
376,378.0,A-379,,KZJRKRQSDZGHEC-UHFFFAOYSA-N,FC(F)(F)C(=O)c1ccccc1,,-1.155,O=C(c1ccccc1)C(F)(F)F
378,380.0,A-381,,KZOFCELNVLSKGC-UHFFFAOYSA-N,O=C(NCCc1cc(OC)c(OC)cc1)CNc1cc(C(=O)N)ccc1,,-2.686,COc1ccc(CCNC(=O)CNc2cccc(C(N)=O)c2)cc1OC
379,381.0,A-382,,KZTYYGOKRVBIMI-UHFFFAOYSA-N,S(=O)(=O)(c1ccccc1)c1ccccc1,,-3.64378,O=S(=O)(c1ccccc1)c1ccccc1
380,382.0,A-383,,LAIUFBWHERIJIH-UHFFFAOYSA-N,C(CCCC)(CC)C,,-5.16,CCCCC(C)CC
382,384.0,A-385,,LDCFNNYCIXKMNJ-UHFFFAOYSA-N,O=C(N(CC(O)C)CC(O)C)COC(=O)c1ccccc1,,-1.178,CC(O)CN(CC(C)O)C(=O)COC(=O)c1ccccc1
383,385.0,A-386,,LEBVLXFERQHONN-UHFFFAOYSA-N,O=C(Nc1c(C)cccc1C)C1N(CCCC)CCCC1,,-3.2241,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
384,386.0,A-387,,LESVOLZBIFDZGS-UHFFFAOYSA-N,S(P(=O)(OC)OC)CCSC(C(=O)NC)C,,1.14,CNC(=O)C(C)SCCSP(=O)(OC)OC
386,388.0,A-389,,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,OCC,,1.1,CCO
388,390.0,A-391,,LGDSHSYDSCRFAB-UHFFFAOYSA-N,S=C=NC,,-1.0,CN=C=S
391,393.0,A-394,,LINPVWIEWJTEEJ-UHFFFAOYSA-N,Clc1cc2C(O)(C(=O)OC)c3c(c2cc1)cccc3,,-4.18,COC(=O)C1(O)c2ccccc2-c2ccc(Cl)cc21
392,394.0,A-395,,LJCFRMUKLSCNKV-UHFFFAOYSA-N,O=C(N(CCOC)CCOC)COC(=O)c1ccccc1,,-1.573,COCCN(CCOC)C(=O)COC(=O)c1ccccc1
400,402.0,A-403,,LNVGTRNKWNAINT-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(O)CCS(=O)(=O)c2c1,,-1.276,NS(=O)(=O)c1cc2c(s1)C(O)CCS2(=O)=O
401,403.0,A-404,,LOAUVZALPPNFOQ-UHFFFAOYSA-N,O=C(O)c1nc2c(cc1)cccc2,,-1.088,O=C(O)c1ccc2ccccc2n1
403,405.0,A-406,,LQLIEICEYDIWLO-UHFFFAOYSA-N,O=C1C(CC(C)C)OC(O)C(Cc2ccccc2)N1,,-2.12,CC(C)CC1OC(O)C(Cc2ccccc2)NC1=O
405,407.0,A-408,,LRQUYRADZABVMX-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(S(=O)(=O)c2cc(O)ccc2)c1,,-2.719,NS(=O)(=O)c1cc(S(=O)(=O)c2cccc(O)c2)cs1
411,413.0,A-414,,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Oc1cc(O)cc(/C=C/c2ccc(O)cc2)c1,,-4.34008,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1
412,414.0,A-415,,LVHBHZANLOWSRM-UHFFFAOYSA-N,O=C(O)C(=C)CC(=O)O,,-0.224117,C=C(CC(=O)O)C(=O)O
413,415.0,A-416,,LWLJUMBEZJHXHV-UHFFFAOYSA-N,ClC1(C(=C(Cl)C(=C1Cl)Cl)Cl)C1(Cl)C(=C(Cl)C(=C1Cl)Cl)Cl,,-7.279998,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl
416,418.0,A-419,,LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,,0.08,OCCO
417,419.0,A-420,,LYGJENNIWJXYER-UHFFFAOYSA-N,O=[N+]([O-])C,,0.26,C[N+](=O)[O-]
418,420.0,A-421,,MAEIEVLCKWDQJH-UHFFFAOYSA-N,S(=O)(=O)(N)c1c(Oc2ccccc2)c(NCCCC)cc(C(=O)O)c1,,-4.118,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
419,421.0,A-422,,MAZCFXDIYXGRAD-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(O)c2c1,,-1.65,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2O
421,423.0,A-424,,MBDMKWJEKDHRRP-UHFFFAOYSA-N,Clc1nc(N(NS(=O)(=O)c2c(C(=O)OCC)cccc2)C=O)nc(OC)c1,,-4.58,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1
425,427.0,A-428,,MCSAJNNLRCFZED-UHFFFAOYSA-N,O=[N+]([O-])CC,,-0.22,CC[N+](=O)[O-]
426,428.0,A-429,,MCWXGJITAZMZEV-UHFFFAOYSA-N,S=P(SCC(=O)NC)(OC)OC,,-0.74,CNC(=O)CSP(=S)(OC)OC
427,429.0,A-430,,METKIMKYRPQLGS-UHFFFAOYSA-N,O=C(N)Cc1ccc(OCC(O)CNC(C)C)cc1,,0.04,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
431,433.0,A-434,,MLKXDPUZXIRXEP-RQZCQDPDSA-N,S(=O)(C)c1ccc(/C=C/2\C(=C(CC(=O)O)c3c2ccc(F)c3)C)cc1,,-2.3777,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1
434,436.0,A-437,,MORLYCDUFHDZKO-UHFFFAOYSA-N,P(=O)(O)(CCC(=O)O)c1ccccc1,,-3.078,O=C(O)CCP(=O)(O)c1ccccc1
436,438.0,A-439,,MPHPHYZQRGLTBO-UHFFFAOYSA-N,O=C1C(CCC)C(=O)n2n1c(N(C)C)nc1c2cc(C)cc1,,-3.54,CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O
437,439.0,A-440,,MQIUGAXCHLFZKX-UHFFFAOYSA-N,O=C(OCCCCCCCC)c1c(C(=O)OCCCCCCCC)cccc1,,-5.11,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
439,441.0,A-442,,MSMHOCZOEWMZOH-UHFFFAOYSA-N,O=C(NC(CO)(CO)CO)COC(=O)c1ccccc1,,-1.268,O=C(COC(=O)c1ccccc1)NC(CO)(CO)CO
444,446.0,A-447,,MUKSMBAVCDPKRC-UHFFFAOYSA-N,O=C1N(C)c2c(Oc3ncc(N)cc13)cc(C)cc2,,-3.04,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C
449,451.0,A-452,,MWOOGOJBHIARFG-UHFFFAOYSA-N,O=Cc1cc(OC)c(O)cc1,,-1.15489,COc1cc(C=O)ccc1O
451,453.0,A-454,,MWWATHDPGQKSAR-UHFFFAOYSA-N,C(#C)C,,-0.41,C#CC
452,454.0,A-455,,MXBNEEHQIDLPLQ-UHFFFAOYSA-N,O=C1N2C(C(=O)Nc3c1cccc3)CCC2,,-3.745,O=C1Nc2ccccc2C(=O)N2CCCC12
455,457.0,A-458,,NAEAAGULDNVNCW-UHFFFAOYSA-N,O=C(OCC)N1CCN(C(=O)OCC)CC1,,-0.729,CCOC(=O)N1CCN(C(=O)OCC)CC1
457,459.0,A-460,,NBFMTHWVRBOVPE-UHFFFAOYSA-N,Clc1cc2Oc3c(Oc2cc1)cc(Cl)cc3,,-7.830002,Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2
459,461.0,A-462,,NCYHCGGUQGDEQW-UHFFFAOYSA-N,Clc1c(Cl)c(Cl)c(OC)c(OC)c1Cl,,-5.2395,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC
461,463.0,A-464,,NDDAHWYSQHTHNT-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc(C(=O)NN2C(C)Cc3c2cccc3)cc1,,-3.63977,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
466,468.0,A-469,,NHPPIJMARIVBGU-UHFFFAOYSA-N,Ic1c2c(ccc1)cccc2,,-4.55,Ic1cccc2ccccc12
468,470.0,A-471,,NHTMVDHEPJAVLT-UHFFFAOYSA-N,C(CC(C)C)(C)(C)C,,-4.74,CC(C)CC(C)(C)C
470,472.0,A-473,,NIPDVSLAMPAWTP-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OC)cc1,,-3.165,COc1ccc([N+](=O)[O-])cc1N
472,474.0,A-475,,NKPDCGFEJUINIK-UHFFFAOYSA-N,S(=O)(=O)(N)c1occ(S(=O)(=O)c2ccc(O)cc2)c1,,-2.403,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1
474,476.0,A-477,,NOOBQTYVTDBXTL-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2c(n1)ccc(O)c2,,-2.503,NS(=O)(=O)c1nc2ccc(O)cc2s1
477,479.0,A-480,,NPUKDXXFDDZOKR-UHFFFAOYSA-N,O=C(OCC)c1n(C(C)c2ccccc2)cnc1,,-4.74,CCOC(=O)c1cncn1C(C)c1ccccc1
478,480.0,A-481,,NQDJXKOVJZTUJA-UHFFFAOYSA-N,O=c1[nH]c2c(C)ccnc2n(C2CC2)c2ncccc12,,-3.19,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
481,483.0,A-484,,NRGGMCIBEHEAIL-UHFFFAOYSA-N,C(C)c1ncccc1,,0.51,CCc1ccccn1
484,486.0,A-487,,NTBYINQTYWZXLH-UHFFFAOYSA-N,Clc1c(Cl)ccc([N+](=O)[O-])c1,,-3.2,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
486,488.0,A-489,,NVKAWKQGWWIWPM-UHFFFAOYSA-N,O=C1CC2C(C)(C3C(C4C(C)(C(O)CC4)CC3)CC2)CC1,,-4.74,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O
487,489.0,A-490,,NXBNYUSXDBHELA-UHFFFAOYSA-N,O=C(C=Cc1ccc(OC)cc1)c1c(O)cccc1,,-5.699,COc1ccc(C=CC(=O)c2ccccc2O)cc1
489,491.0,A-492,,NXQDBZGWYSEGFL-UHFFFAOYSA-N,Clc1ccc(N(C(=O)CSP(=S)(OC)OC)C(C)C)cc1,,-4.43,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C
490,492.0,A-493,,NYHAZDHVIPVSDM-UHFFFAOYSA-N,ON=C1C(=NO)CCC(C(C)C)C1,,-2.39,CC(C)C1CCC(=NO)C(=NO)C1
492,494.0,A-495,,NZDAAPUTURAWII-UHFFFAOYSA-N,O=C(NC(=O)C)COC(=O)c1ccccc1,,-2.401,CC(=O)NC(=O)COC(=O)c1ccccc1
493,495.0,A-496,,NZNPHIKNHGRVLZ-UHFFFAOYSA-N,O=C(NC(C)(C)C)COC(=O)c1ccccc1,,-2.866,CC(C)(C)NC(=O)COC(=O)c1ccccc1
498,500.0,A-501,,OGBQILNBLMPPDP-UHFFFAOYSA-N,Clc1c(Cl)c2oc3c(c2cc1Cl)cc(Cl)c(Cl)c3,,-9.159894,Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl
499,501.0,A-502,,OGDVEMNWJVYAJL-UHFFFAOYSA-N,O(CC)c1c2OC3C(O)C=CC4C53c2c(cc1)CC4N(C)CC5,,-0.82,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341
500,502.0,A-503,,OGHNVEJMJSYVRP-UHFFFAOYSA-N,O(CCNCC(O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(OC)cccc1,,-4.2557,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
501,503.0,A-504,,OGJPXUAPXNRGGI-UHFFFAOYSA-N,Fc1c(N2CCNCC2)cc2n(CC)cc(C(=O)O)c(=O)c2c1,,-2.81581,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
504,506.0,A-507,,OJXOXNIZNJIMLU-UHFFFAOYSA-N,S(=O)(=O)(N)c1scc(C(=O)c2ccc(O)cc2)c1,,-2.861,NS(=O)(=O)c1cc(C(=O)c2ccc(O)cc2)cs1
505,507.0,A-508,,OKKJLVBELUTLKV-UHFFFAOYSA-N,OC,,1.57,CO
506,508.0,A-509,,OKQHSIGMOWQUIK-UHFFFAOYSA-N,O(CCO)Cn1c2nc(N)ncc2nc1,,-1.078,Nc1ncc2ncn(COCCO)c2n1
508,510.0,A-511,,ONKUXPIBXRRIDU-UHFFFAOYSA-N,O=C(OCC)CCCCCCCCC(=O)OCC,,-3.509,CCOC(=O)CCCCCCCCC(=O)OCC
509,511.0,A-512,,ONUFESLQCSAYKA-UHFFFAOYSA-N,Clc1cc(Cl)cc(N2C(=O)N(C(=O)NC(C)C)CC2=O)c1,,-4.38,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O
512,514.0,A-515,,OQANPHBRHBJGNZ-BKUYFWCQSA-N,S(=O)(=O)(Nc1ncccc1)c1ccc(N/N=C/2\C=C(C(=O)O)C(=O)C=C2)cc1,,-6.1367,O=C(O)C1=CC(=NNc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O
514,516.0,A-517,,OQZCSNDVOWYALR-UHFFFAOYSA-N,ClCC1C(Cl)C(=O)N(c2cc(C(F)(F)F)ccc2)C1,,-4.05,O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1
519,521.0,A-522,,OTQFXRBLGNEOGH-UHFFFAOYSA-N,Clc1c2Oc3c(c(Cl)cc(Cl)c3)Oc2cc(Cl)c1,,-9.0,Clc1cc(Cl)c2c(c1)Oc1c(Cl)cc(Cl)cc1O2
520,522.0,A-523,,OTVAEFIXJLOWRX-UHFFFAOYSA-N,ClC(Cl)C(=O)NC(C(O)c1ccc(S(=O)(=O)C)cc1)CO,,-2.15,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1
524,526.0,A-527,,OXNIZHLAWKMVMX-UHFFFAOYSA-N,O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1,,-2.83,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
526,528.0,A-529,,OZWKMVRBQXNZKK-UHFFFAOYSA-N,O=C(c1n2c(C(C(=O)O)CC2)cc1)c1ccccc1,,-3.259,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
529,531.0,A-532,,PBAYDYUZOSNJGU-UHFFFAOYSA-N,O=C(O)c1oc(C(=O)O)cc(=O)c1,,-1.099,O=C(O)c1cc(=O)cc(C(=O)O)o1
535,537.0,A-538,,PEQHIRFAKIASBK-UHFFFAOYSA-N,C(c1ccccc1)(c1ccccc1)(c1ccccc1)c1ccccc1,,-7.8,c1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
536,538.0,A-539,,PFIADAMVCJPXSF-UHFFFAOYSA-N,Clc1c(OC)cc(Cl)c(OC)c1,,-4.41,COc1cc(Cl)c(OC)cc1Cl
539,541.0,A-542,,PJANXHGTPQOBST-VAWYXSNFSA-N,C(=C\c1ccccc1)/c1ccccc1,,-5.790116,C(=Cc1ccccc1)c1ccccc1
540,542.0,A-543,,PJGSXYOJTGTZAV-UHFFFAOYSA-N,O=C(C(C)(C)C)C,,-0.72,CC(=O)C(C)(C)C
546,548.0,A-549,,POZRVZJJTULAOH-UHFFFAOYSA-N,OC1(C#C)C2(C)C(C3C(C4(C)C(=Cc5oncc5C4)CC3)CC2)CC1,,-5.508497,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
548,550.0,A-551,,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,O=C(CO)[C@@H]1[C@]2(C=O)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,,-3.85,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
549,551.0,A-552,,PRLMFHYBTOQSLN-UHFFFAOYSA-N,S(C)c1nc(N(C)C)nc(N(C)C)n1,,-2.68,CSc1nc(N(C)C)nc(N(C)C)n1
550,552.0,A-553,,PTFJIKYUEPWBMS-UHFFFAOYSA-N,FC(F)(F)c1cc([N+](=O)[O-])c(N(CC(=C)C)CC)c([N+](=O)[O-])c1,,-6.12,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
554,556.0,A-557,,PUXBGTOOZJQSKH-UHFFFAOYSA-N,Clc1cc2c([nH]c3c2ccc(C(C(=O)O)C)c3)cc1,,-4.6983,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
556,558.0,A-559,,PWNAWOCHVWERAR-UHFFFAOYSA-N,Clc1c(CN(CC)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(F)ccc1,,-6.779999,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
557,559.0,A-560,,PXWLVJLKJGVOKE-UHFFFAOYSA-N,O=c1n(n(C)c(C)c1C(C)C)c1ccccc1,,-1.908,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
558,560.0,A-561,,PXWUKZGIHQRDHL-UHFFFAOYSA-N,O(C)c1nc(NC(C)C)nc(NCC)n1,,-2.08,CCNc1nc(NC(C)C)nc(OC)n1
559,561.0,A-562,,PYGXAGIECVVIOZ-UHFFFAOYSA-N,O=C(OCCCC)CCCCCCCCC(=O)OCCCC,,-3.72126,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
560,562.0,A-563,,QANMHLXAZMSUEX-UHFFFAOYSA-N,N(Cc1occc1)c1ncnc2[nH]cnc12,,-3.946,c1coc(CNc2ncnc3[nH]cnc23)c1
562,564.0,A-565,,QBSJMKIUCUGGNG-UHFFFAOYSA-N,O=C(Oc1c(C(C)C)cccc1)NC,,-2.86,CNC(=O)Oc1ccccc1C(C)C
565,567.0,A-568,,QCKHVNQHBOGZER-UHFFFAOYSA-N,Brc1c(Br)cc(Br)c(Br)c1,,-6.98,Brc1cc(Br)c(Br)cc1Br
566,568.0,A-569,,QCRFMSUKWRQZEM-UHFFFAOYSA-N,OC1CCCCCC1,,-0.88,OC1CCCCCC1
567,569.0,A-570,,QFMDFTQOJHFVNR-UHFFFAOYSA-N,ClC(Cl)C(c1ccc(CC)cc1)c1ccc(CC)cc1,,-7.04,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1
569,571.0,A-572,,QHTQREMOGMZHJV-UHFFFAOYSA-N,Clc1ccc(CSC(=O)N(CC)CC)cc1,,-3.934,CCN(CC)C(=O)SCc1ccc(Cl)cc1
570,572.0,A-573,,QHXDTLYEHWXDSO-UHFFFAOYSA-N,Clc1nc(N(CC)CC)nc(N(CC)CC)n1,,-4.41,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1
571,573.0,A-574,,QIBWCUCLHZVYNL-UHFFFAOYSA-N,O=c1n(C)c2c(n(CC)c3ncccc13)cccc2,,-3.32,CCN1c2ccccc2N(C)C(=O)c2cccnc21
575,577.0,A-578,,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,O=C(O)C(N)C,,0.271842,CC(N)C(=O)O
578,580.0,A-581,,QQBKLRXLVRDKEB-UHFFFAOYSA-N,O=C1N(CO)C(=O)NC1(c1ccccc1)c1ccccc1,,-4.469,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CO
579,581.0,A-582,,QQODLKZGRKWIFG-UHFFFAOYSA-N,ClC(=CC1C(C)(C)C1C(=O)OC(C#N)c1cc(Oc2ccccc2)c(F)cc1)Cl,,-7.339998,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1
581,583.0,A-584,,QSNYNWOQOIJCFV-UHFFFAOYSA-N,Fc1c(N2CC(NC)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,,-5.312,CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1
583,585.0,A-586,,QTSBFJRVBUIZJC-UHFFFAOYSA-N,Ic1cc(Nc2ncnc3c2cc2OC(COC)COc2c3)ccc1,,-3.523,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1
584,586.0,A-587,,QUBSMEXIPLOOMC-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2SCCC(O)c2c1,,-2.594,NS(=O)(=O)c1cc2c(s1)SCCC2O
585,587.0,A-588,,QUEKGYQTRJVEQC-UHFFFAOYSA-N,Clc1c(C(=O)O)cc([N+](=O)[O-])cc1,,-1.74811,O=C(O)c1cc([N+](=O)[O-])ccc1Cl
586,588.0,A-589,,QUIKDFWIKDMXIO-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1C(C(=O)N)CCC1,,-1.045,NC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1
587,589.0,A-590,,QUWAJPZDCZDTJS-UHFFFAOYSA-N,S(=O)(=O)(c1c(O)cccc1)c1c(O)cccc1,,-3.319,O=S(=O)(c1ccccc1O)c1ccccc1O
588,590.0,A-591,,QVHJQCGUWFKTSE-YFKPBYRVSA-N,O=C(OC(C)(C)C)N[C@H](C(=O)O)C,,-0.74473,CC(NC(=O)OC(C)(C)C)C(=O)O
593,595.0,A-596,,QXBUYALKJGBACG-UHFFFAOYSA-N,CN1c2c(Sc3c1cccc3)cccc2,,-5.593,CN1c2ccccc2Sc2ccccc21
594,596.0,A-597,,QXJKBPAVAHBARF-UHFFFAOYSA-N,Clc1cc(Cl)cc(N2C(=O)C3(C)C(C)(C2=O)C3)c1,,-4.8,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O
596,598.0,A-599,,QYPNKSZPJQQLRK-UHFFFAOYSA-N,O=C(N(NC(=O)c1ccc(CC)cc1)C(C)(C)C)c1cc(C)cc(C)c1,,-5.628,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1
